Date,Name,Already Added?,Location,Country,Country Name,Month,Scraped?,athletic_links ,Notes
18 May 2025,JiLin City Marathon,,Jilin,CHN,China,5,,N/A,
18 May 2025,Miyun Eco Marathon,,Beijing,CHN,China,5,,N/A,
18 May 2025,Rimi Riga 10km,,Riga,LAT,Latvia,5,,https://www.athlinks.com/event/364171,
18 May 2025,Rimi Riga 6 km,,Riga,LAT,Latvia,5,,https://www.athlinks.com/event/364171,Shows 5k
18 May 2025,Rimi Riga Half Marathon,,Riga,LAT,Latvia,5,,https://www.athlinks.com/event/364171,
18 May 2025,Rimi Riga Marathon,,Riga,LAT,Latvia,5,,https://www.athlinks.com/event/364171,
24 May 2025,10 km en Ruta Villa de Laredo,,Laredo,ESP,Spain,5,,N/A,
25 May 2025,Bangsaen10,,Chon Buri,THA,Thailand,5,,N/A,
25 May 2025,Changchun Marathon,,Changchun,CHN,China,5,,N/A,
25 May 2025,Lanzhou Marathon,,Lanzhou,CHN,China,5,,N/A,
25 May 2025,Tartan Ottawa International Marathon,,Ottawa,CAN,Canada,5,,https://www.athlinks.com/event/34451/results/Event/1081929/Results,
31 May 2025,adidas Stockholm Marathon,,Stockholm,SWE,Sweden,5,,https://www.athlinks.com/event/34518/results/Event/1085791/Results,
31 May 2025,Mattoni Half Marathon České Budějovice,,České Budějovice,CZE,Czech Republic,5,,N/A,
01 Jun 2025,McGrath Launceston Running Festival - Half Marathon,,"Riverbend Park, Launceston",AUS,Australia,6,,N/A,
08 Jun 2025,Kigali International Peace Marathon,,Kigali,RWA,Rwanda,6,,N/A,
14 Jun 2025,Mattoni Half Marathon Olomouc,,Olomouc,CZE,Czech Republic,6,,https://www.athlinks.com/event/118300/results/Event/1090975/Results,
15 Jun 2025,Guiyang Marathon,,Guiyang,CHN,China,6,,N/A,
21 Jun 2025,Corrida International de Langueux,,Langueux,FRA,France,6,,N/A,
22 Jun 2025,B.A.A. 10K,,"Boston, MA",USA,United States,6,,https://www.athlinks.com/event/13816/results/Event/1084565/Results,
22 Jun 2025,Guizhou Zhenning Huangguoshu Half Marathon,,Zhenning,CHN,China,6,,N/A,
28 Jun 2025,BCR Bucharest 10K Grand Prix,,Bucureşti,ROU,Romania,6,,N/A,
29 Jun 2025,31. hella Hamburg Half Marathon,,Hamburg,GER,Germany,6,,"https://www.athlinks.com/event/34631/results/Event/1085039/Results - half
https://www.athlinks.com/event/131958/results/Event/1096176/Results - full",
20 Jul 2025,Liupanshui Marathon,,Liupanshui,CHN,China,7,,N/A,
26 Jul 2025,Giro Podistico Internazionale di Castelbuono,,Castelbuono,ITA,Italy,7,,N/A,
27 Jul 2025,Media Maraton de Bogota,,Bogotá,COL,Colombia,7,,N/A,
03 Aug 2025,Sunshine Coast Marathon Festival,,Sunshine Coast,AUS,Australia,8,,N/A,
17 Aug 2025,La Carrera del Pacifico Cali 10K,,Cali,COL,Colombia,8,,N/A,
24 Aug 2025,Antrim Coast Half Marathon,,Larne,GBR,United Kingdom,8,,N/A,
24 Aug 2025,Maybank Marathon,,Bali,INA,Indonesia,8,,N/A,
24 Aug 2025,Songkhla International Marathon,,Songkhla,THA,Thailand,8,,N/A,
24 Aug 2025,XXI 10 km Internacional Guadalajara Bomberos,,Guadalajara,MEX,Mexico,8,,N/A,
30 Aug 2025,adidas Stockholm Half Marathon,,Stockholm,SWE,Sweden,8,,https://www.athlinks.com/event/34518/results/Event/1085791/Results,
